Relatório de Atendimentos por Hora,,,
Período: 01/10/2024 a 31/10/2025,,,
Período,Horário,Atendimentos,% do Total
00H - 00:59,00:00 - 00:59,2415,"1,72%"
01H - 01:59,01:00 - 01:59,1793,"1,28%"
02H - 02:59,02:00 - 02:59,1405,"1,00%"
03H - 03:59,03:00 - 03:59,1135,"0,81%"
04H - 04:59,04:00 - 04:59,1141,"0,81%"
05H - 05:59,05:00 - 05:59,2264,"1,62%"
06H - 06:59,06:00 - 06:59,4745,"3,39%"
07H - 07:59,07:00 - 07:59,8579,"6,12%"
08H - 08:59,08:00 - 08:59,9599,"6,85%"
09H - 09:59,09:00 - 09:59,9629,"6,87%"
10H - 10:59,10:00 - 10:59,8730,"6,23%"
11H - 11:59,11:00 - 11:59,7365,"5,26%"
12H - 12:59,12:00 - 12:59,6662,"4,76%"
13H - 13:59,13:00 - 13:59,8289,"5,92%"
14H - 14:59,14:00 - 14:59,8220,"5,87%"
15H - 15:59,15:00 - 15:59,7345,"5,24%"
16H - 16:59,16:00 - 16:59,7011,"5,01%"
17H - 17:59,17:00 - 17:59,7403,"5,28%"
18H - 18:59,18:00 - 18:59,8158,"5,82%"
19H - 19:59,19:00 - 19:59,7786,"5,56%"
20H - 20:59,20:00 - 20:59,6839,"4,88%"
21H - 21:59,21:00 - 21:59,5744,"4,10%"
22H - 22:59,22:00 - 22:59,4617,"3,30%"
23H - 23:59,23:00 - 23:59,3202,"2,29%"
