Relatório de Atendimentos por Hora,,,
Período: 01/10/2024 a 31/10/2025,,,
Período,Horário,Atendimentos,% do Total
00H - 00:59,00:00 - 00:59,999,"1,01%"
01H - 01:59,01:00 - 01:59,703,"0,71%"
02H - 02:59,02:00 - 02:59,543,"0,55%"
03H - 03:59,03:00 - 03:59,459,"0,46%"
04H - 04:59,04:00 - 04:59,466,"0,47%"
05H - 05:59,05:00 - 05:59,881,"0,89%"
06H - 06:59,06:00 - 06:59,2372,"2,40%"
07H - 07:59,07:00 - 07:59,5566,"5,63%"
08H - 08:59,08:00 - 08:59,7619,"7,71%"
09H - 09:59,09:00 - 09:59,8205,"8,30%"
10H - 10:59,10:00 - 10:59,7467,"7,56%"
11H - 11:59,11:00 - 11:59,6175,"6,25%"
12H - 12:59,12:00 - 12:59,5556,"5,62%"
13H - 13:59,13:00 - 13:59,6989,"7,07%"
14H - 14:59,14:00 - 14:59,7509,"7,60%"
15H - 15:59,15:00 - 15:59,6724,"6,80%"
16H - 16:59,16:00 - 16:59,5638,"5,71%"
17H - 17:59,17:00 - 17:59,4797,"4,85%"
18H - 18:59,18:00 - 18:59,5061,"5,12%"
19H - 19:59,19:00 - 19:59,4805,"4,86%"
20H - 20:59,20:00 - 20:59,3783,"3,83%"
21H - 21:59,21:00 - 21:59,2900,"2,93%"
22H - 22:59,22:00 - 22:59,2102,"2,13%"
23H - 23:59,23:00 - 23:59,1491,"1,51%"
